"id","active","name","isbn","date_published"
library_book_001,True,"Le chevalier aux épines : Le tournoi des preux","9782361838386","2023-01-18"
library_book_002,True,"Le chevalier aux épines : Le conte de l’assassin","978-2-36183-851-5","2023-06-14"
